local,parameter,value,season,month,hour
2017-03-17 10:00:00+05:45,pm25,103.0,spring,3,10
2017-03-17 11:00:00+05:45,pm25,89.0,spring,3,11
2017-03-17 12:00:00+05:45,pm25,62.0,spring,3,12
2017-03-17 13:00:00+05:45,pm25,48.0,spring,3,13
2017-03-17 14:00:00+05:45,pm25,43.0,spring,3,14
2017-03-17 15:00:00+05:45,pm25,48.0,spring,3,15
2017-03-17 16:00:00+05:45,pm25,51.0,spring,3,16
2017-03-17 17:00:00+05:45,pm25,53.0,spring,3,17
2017-03-17 18:00:00+05:45,pm25,52.0,spring,3,18
2017-03-17 19:00:00+05:45,pm25,61.0,spring,3,19
2017-03-17 20:00:00+05:45,pm25,32.0,spring,3,20
2017-03-17 21:00:00+05:45,pm25,40.0,spring,3,21
2017-03-17 22:00:00+05:45,pm25,32.0,spring,3,22
2017-03-17 23:00:00+05:45,pm25,27.0,spring,3,23
2017-03-18 00:00:00+05:45,pm25,40.0,spring,3,0
2017-03-18 01:00:00+05:45,pm25,31.0,spring,3,1
2017-03-18 02:00:00+05:45,pm25,37.0,spring,3,2
2017-03-18 03:00:00+05:45,pm25,31.0,spring,3,3
2017-03-18 04:00:00+05:45,pm25,45.0,spring,3,4
2017-03-18 05:00:00+05:45,pm25,69.0,spring,3,5
2017-03-18 06:00:00+05:45,pm25,98.0,spring,3,6
2017-03-18 07:00:00+05:45,pm25,122.0,spring,3,7
2017-03-18 08:00:00+05:45,pm25,72.0,spring,3,8
2017-03-18 09:00:00+05:45,pm25,76.0,spring,3,9
2017-03-18 10:00:00+05:45,pm25,82.0,spring,3,10
2017-03-18 11:00:00+05:45,pm25,60.0,spring,3,11
2017-03-18 12:00:00+05:45,pm25,47.0,spring,3,12
2017-03-18 13:00:00+05:45,pm25,43.0,spring,3,13
2017-03-18 14:00:00+05:45,pm25,65.0,spring,3,14
2017-03-18 15:00:00+05:45,pm25,59.0,spring,3,15
2017-03-18 16:00:00+05:45,pm25,42.0,spring,3,16
2017-03-18 17:00:00+05:45,pm25,48.0,spring,3,17
2017-03-18 18:00:00+05:45,pm25,63.0,spring,3,18
2017-03-18 19:00:00+05:45,pm25,89.0,spring,3,19
2017-03-18 20:00:00+05:45,pm25,97.0,spring,3,20
2017-03-18 21:00:00+05:45,pm25,142.0,spring,3,21
2017-03-18 22:00:00+05:45,pm25,133.0,spring,3,22
2017-03-18 23:00:00+05:45,pm25,123.0,spring,3,23
2017-03-19 00:00:00+05:45,pm25,102.0,spring,3,0
2017-03-19 01:00:00+05:45,pm25,95.0,spring,3,1
2017-03-19 02:00:00+05:45,pm25,92.0,spring,3,2
2017-03-19 03:00:00+05:45,pm25,86.0,spring,3,3
2017-03-19 04:00:00+05:45,pm25,98.0,spring,3,4
2017-03-19 05:00:00+05:45,pm25,100.0,spring,3,5
2017-03-19 06:00:00+05:45,pm25,113.0,spring,3,6
2017-03-19 07:00:00+05:45,pm25,170.0,spring,3,7
2017-03-19 08:00:00+05:45,pm25,147.0,spring,3,8
2017-03-19 09:00:00+05:45,pm25,154.0,spring,3,9
2017-03-19 10:00:00+05:45,pm25,92.0,spring,3,10
2017-03-19 11:00:00+05:45,pm25,129.0,spring,3,11
2017-03-19 12:00:00+05:45,pm25,52.0,spring,3,12
2017-03-19 13:00:00+05:45,pm25,45.0,spring,3,13
2017-03-19 14:00:00+05:45,pm25,42.0,spring,3,14
2017-03-19 15:00:00+05:45,pm25,54.0,spring,3,15
2017-03-19 16:00:00+05:45,pm25,47.0,spring,3,16
2017-03-19 17:00:00+05:45,pm25,45.0,spring,3,17
2017-03-19 18:00:00+05:45,pm25,58.0,spring,3,18
2017-03-19 19:00:00+05:45,pm25,65.0,spring,3,19
2017-03-19 20:00:00+05:45,pm25,65.0,spring,3,20
2017-03-19 21:00:00+05:45,pm25,69.0,spring,3,21
2017-03-19 22:00:00+05:45,pm25,63.0,spring,3,22
2017-03-19 23:00:00+05:45,pm25,69.0,spring,3,23
2017-03-20 00:00:00+05:45,pm25,80.0,spring,3,0
2017-03-20 01:00:00+05:45,pm25,66.0,spring,3,1
2017-03-20 02:00:00+05:45,pm25,71.0,spring,3,2
2017-03-20 03:00:00+05:45,pm25,62.0,spring,3,3
2017-03-20 04:00:00+05:45,pm25,67.0,spring,3,4
2017-03-20 05:00:00+05:45,pm25,75.0,spring,3,5
2017-03-20 06:00:00+05:45,pm25,110.0,spring,3,6
2017-03-20 07:00:00+05:45,pm25,137.0,spring,3,7
2017-03-20 08:00:00+05:45,pm25,143.0,spring,3,8
2017-03-20 09:00:00+05:45,pm25,131.0,spring,3,9
2017-03-20 10:00:00+05:45,pm25,98.33333333333334,spring,3,10
2017-03-20 11:00:00+05:45,pm25,65.66666666666667,spring,3,11
2017-03-20 12:00:00+05:45,pm25,33.0,spring,3,12
2017-03-20 13:00:00+05:45,pm25,39.0,spring,3,13
2017-03-20 14:00:00+05:45,pm25,40.0,spring,3,14
2017-03-20 15:00:00+05:45,pm25,46.0,spring,3,15
2017-03-20 16:00:00+05:45,pm25,74.0,spring,3,16
2017-03-20 17:00:00+05:45,pm25,56.0,spring,3,17
2017-03-20 18:00:00+05:45,pm25,64.0,spring,3,18
2017-03-20 19:00:00+05:45,pm25,90.0,spring,3,19
2017-03-20 20:00:00+05:45,pm25,120.0,spring,3,20
2017-03-20 21:00:00+05:45,pm25,150.0,spring,3,21
